Year,Race,Driver,Constructor,Position,Points
2014,United States Grand Prix,Hamilton,Mercedes,1,25.0
2014,United States Grand Prix,Rosberg,Mercedes,2,18.0
2014,United States Grand Prix,Ricciardo,Red Bull,3,15.0
2014,United States Grand Prix,Massa,Williams,4,12.0
2014,United States Grand Prix,Bottas,Williams,5,10.0
2014,United States Grand Prix,Alonso,Ferrari,6,8.0
2014,United States Grand Prix,Vettel,Red Bull,7,6.0
2014,United States Grand Prix,Magnussen,McLaren,8,4.0
2014,United States Grand Prix,Vergne,Toro Rosso,10,1.0
2014,United States Grand Prix,Maldonado,Lotus F1,9,2.0
2014,United States Grand Prix,Grosjean,Lotus F1,11,0.0
2014,United States Grand Prix,Button,McLaren,12,0.0
2014,United States Grand Prix,Räikkönen,Ferrari,13,0.0
2014,United States Grand Prix,Gutiérrez,Sauber,14,0.0
2014,United States Grand Prix,Kvyat,Toro Rosso,15,0.0
2014,United States Grand Prix,Hülkenberg,Force India,16,0.0
2014,United States Grand Prix,Pérez,Force India,17,0.0
2014,United States Grand Prix,Sutil,Sauber,18,0.0
2015,Abu Dhabi Grand Prix,Rosberg,Mercedes,1,25.0
2015,Abu Dhabi Grand Prix,Hamilton,Mercedes,2,18.0
2015,Abu Dhabi Grand Prix,Räikkönen,Ferrari,3,15.0
2015,Abu Dhabi Grand Prix,Vettel,Ferrari,4,12.0
2015,Abu Dhabi Grand Prix,Pérez,Force India,5,10.0
2015,Abu Dhabi Grand Prix,Ricciardo,Red Bull,6,8.0
2015,Abu Dhabi Grand Prix,Hülkenberg,Force India,7,6.0
2015,Abu Dhabi Grand Prix,Massa,Williams,8,4.0
2015,Abu Dhabi Grand Prix,Grosjean,Lotus F1,9,2.0
2015,Abu Dhabi Grand Prix,Kvyat,Red Bull,10,1.0
2015,Abu Dhabi Grand Prix,Sainz,Toro Rosso,11,0.0
2015,Abu Dhabi Grand Prix,Button,McLaren,12,0.0
2015,Abu Dhabi Grand Prix,Bottas,Williams,13,0.0
2015,Abu Dhabi Grand Prix,Ericsson,Sauber,14,0.0
2015,Abu Dhabi Grand Prix,Nasr,Sauber,15,0.0
2015,Abu Dhabi Grand Prix,Verstappen,Toro Rosso,16,0.0
2015,Abu Dhabi Grand Prix,Alonso,McLaren,17,0.0
2015,Abu Dhabi Grand Prix,Stevens,Manor Marussia,18,0.0
2015,Abu Dhabi Grand Prix,Merhi,Manor Marussia,19,0.0
2015,Abu Dhabi Grand Prix,Maldonado,Lotus F1,20,0.0
2015,Australian Grand Prix,Hamilton,Mercedes,1,25.0
2015,Australian Grand Prix,Rosberg,Mercedes,2,18.0
2015,Australian Grand Prix,Vettel,Ferrari,3,15.0
2015,Australian Grand Prix,Massa,Williams,4,12.0
2015,Australian Grand Prix,Nasr,Sauber,5,10.0
2015,Australian Grand Prix,Ricciardo,Red Bull,6,8.0
2015,Australian Grand Prix,Hülkenberg,Force India,7,6.0
2015,Australian Grand Prix,Ericsson,Sauber,8,4.0
2015,Australian Grand Prix,Sainz,Toro Rosso,9,2.0
2015,Australian Grand Prix,Pérez,Force India,10,1.0
2015,Australian Grand Prix,Button,McLaren,11,0.0
2015,Australian Grand Prix,Räikkönen,Ferrari,12,0.0
2015,Australian Grand Prix,Verstappen,Toro Rosso,13,0.0
2015,Australian Grand Prix,Grosjean,Lotus F1,14,0.0
2015,Australian Grand Prix,Maldonado,Lotus F1,15,0.0
